patent_number,patent_title,patent_abstract,patent_date,patent_type
10529011,Method and system of determining an optimal value of an auction parameter for a digital object,"There is disclosed a method of determining an optimal value of an auction parameter for a digital object. The method comprises using: an indication of a digital object, an auction parameter associated with the digital object and an environment feature at the respective moment of time to execute an offline training of a machine learning algorithm to predict an optimal value of auction parameters for a plurality of digital objects, the plurality of digital objects being associated with the interaction history of the first portion of users. The method further comprises applying the machine learning algorithm to determine a first optimal value of an auction parameter for a plurality of digital objects associated with the second portion of users and using such determined value for determining a digital object being relevant to the request from a user from the second portion of users.",2020-01-07,utility
10529012,System and method for fair-sharing in bandwidth sharing ad-hoc networks,Systems and methods for fair-sharing in bandwidth sharing ad-hoc networks. A method includes maintaining a borrower account and lender account of a borrower and a lender of an ad hoc network. The method also includes adjusting at least one of the borrower account and the lender account based upon data transfer by the lender for the borrower.,2020-01-07,utility
10529016,Method and system for pre-transaction installment payment solution and simulation of installment,"A method for flagging a pre-approved installment transaction for issuer processing includes: receiving installment data, wherein the installment data is related to an installment transaction pre-approved by an issuing financial institution and includes a primary account number, pre-approved amount, and transaction criteria; receiving a transaction message including the primary account number, a transaction amount, and transaction data; verifying compliance of the payment transaction with the installment transaction based on a correspondence between the pre-approved amount and transaction amount and the transaction criteria with the transaction data; storing an installment flag in the transaction message upon successful verification; and transmitting the transaction message including the installment flag to the issuing financial institution via the payment network.",2020-01-07,utility
10529019,Trading platform with automated negotiation and option crossing,"A system and method for trading securities that include at least one options leg is provided. The system generally includes a database, handlers, a network and at least one server. The database stores user information, security information and transaction information. The handlers receive information feeds from at least one public exchange. The at least one server implements an exchange facility that is capable of exchanging information with client terminals to allow the client to initiate at least one offer to trade a security having an option leg, identifying users interested in the offer, broadcasting the offer to the interested users and conducting a defined period auction among the interested users. The system and method also automatically cross the options legs on exchanges and facilitate negotiation when the auction is not consummated.",2020-01-07,utility
10529024,Facilitating business transactions between trading networks,"A system is disclosed for establishing an interconnection between trading networks. The system receives an access establishment request communicated from a home user subscribed to a home trading network and not subscribed to a foreign trading network, the access establishment request including a request to access a desired application, the desired application associated with the foreign trading network. The system further communicates the access establishment request to a foreign operator computer system and receives an approval of the access establishment request communicated from the foreign operator computer system. The system still further communicates a home user profile including subscriber information to establish an application access on a home access establishment module and a foreign access establishment module, the application access allowing the home user to use the desired application without subscribing to the foreign trading network, the subscriber information including at least one application associated with the home user profile.",2020-01-07,utility
10529033,Network connection system and method,"A method for networking provides a network service for a network. The network service can include the server system maintaining a database that can include information about connections between nodes. The network service can include the server system receiving a potential connection message from a first node to be delivered to a third node. The potential connection message can include a suggestion that the third node connect to a second node. The network service can include the server system delivering the potential connection message to the third node, only if the server system verifies in the database that the first node is connected with the third node and the second node. The network service can include the server system receiving feedback from the third node regarding the second node. The network service can include the server system connecting the second node to the third node, only if the feedback from the third node regarding the second node is positive.",2020-01-07,utility
10529035,Method and system for recommending activities to a community of contacts,"A monitoring component installed in a network navigation interface, such as an Internet browser, is disclosed. The monitoring component monitors activity of a user performed via the network navigation interface among one or more network resources, such as e-commerce sites, blogs, media hosting sites, and social networking sites. The monitoring component further enables the user to selected at least one monitored activity to be shared with contacts known to the user. An activity service is provided that notifies the contacts of the selected activity and generates recommendations for the user based on the activities reported by the monitoring component. In this manner, users may share activities of interest with their contacts, as well obtain recommendations about items of possible interest.",2020-01-07,utility
10529064,Artificial vision system,One aspect of the present invention includes artificial vision system. The system includes an image system comprising a video source that is configured to capture sequential frames of image data of non-visible light and at least one processor configured as an image processing system. The image processing system includes a wavelet enhancement component configured to normalize each pixel of each of the sequential frames of image data and to decompose the normalized image data into a plurality of wavelet frequency bands. The image processing system also includes a video processor configured to convert the plurality of wavelet frequency bands in the sequential frames into respective visible color images. The system also includes a video display system configured to display the visible color images.,2020-01-07,utility
10529072,Systems and methods for detection of structures and/or patterns in images,"The subject disclosure presents systems and computer-implemented methods for automatic immune cell detection that is of assistance in clinical immune profile studies. The automatic immune cell detection method involves retrieving a plurality of image channels from a multi-channel image such as an RGB image or biologically meaningful unmixed image. A cell detector is trained to identify the immune cells by a convolutional neural network in one or multiple image channels. Further, the automatic immune cell detection algorithm involves utilizing a non-maximum suppression algorithm to obtain the immune cell coordinates from a probability map of immune cell presence possibility generated from the convolutional neural network classifier.",2020-01-07,utility
10529077,System and method for detecting interaction,"A system and method of detecting an interaction between a plurality of objects. The method comprises receiving tracking information for the plurality of objects in a scene; generating a plurality of frames, each of the plurality of frames comprising an activation for each of the plurality of objects and representing a relative spatial relationship between the plurality objects in the scene determined from the received tracking information, the frames encoding properties of the objects using properties of the corresponding activations; determining, using a trained neural network, features associated with the plurality of objects from the generated plurality of frames using the activations and the relative spatial relationship between the objects, the features representing changes in the relative spatial relationship between the objects over time relating to the interaction; and detecting time localization of the interaction in the plurality of frames using the determined features.",2020-01-07,utility
10529088,Automatically determining orientation and position of medically invasive devices via image processing,A method of determining the position and orientation of an invasive medical device is described using altered devices and a machine learning algorithm for detecting the position and orientation of such devices from imagery. Such predictions can subsequently be displayed to an operator to improve the speed and accuracy by which they perform procedures.,2020-01-07,utility
10529109,Video stream customization using graphics,"An online system customizes video conversations between users of the online system by providing graphics that are likely to interest the users. The online system may present composite views overlaying selected graphics on a video stream, which may be part of an augmented reality (AR) environment. The graphics include, for example, background graphics, masks, props, visual or particular effects, frames or borders, etc. The online system may use a machine learning model to predict whether a user is likely to select or interact with a particular graphic. The online system can also filter or rank graphics according to user affinities or user connections on the online system. Users may be encouraged to interact with the graphics that are customized to their specific interests, which can promote an engaging video conversation or AR experience.",2020-01-07,utility
10529131,Simulating fractured reservoirs using multiple meshes,"The disclosed embodiments include a method, apparatus, and computer program product for generating multiple correlated meshes around complex and discrete fractures for the purpose of reservoir simulation. In an initial two-stage process, a 2.5-dimensional mesher algorithm, may be used in conjunction with an extended anisotropic geometry-adaptive refinement algorithm to produce, from a structured grid Earth Model, a refined reservoir model. Fractures may be modeled as a volumetric mesh that is independent of the refined reservoir model. Thereafter, the two independent, overlapping meshes are combined by forming matrix-matrix, fracture-fracture, and matrix-fracture connections to form a single model to allow rapid simulation of an extremely complex fracture network with sufficiently accurate results.",2020-01-07,utility
10529137,Machine learning systems and methods for augmenting images,"Disclosed is a method including receiving visual input comprising a human within a scene, detecting a pose associated with the human using a trained machine learning model that detects human poses to yield a first output, estimating a shape (and optionally a motion) associated with the human using a trained machine learning model associated that detects shape (and optionally motion) to yield a second output, recognizing the scene associated with the visual input using a trained convolutional neural network which determines information about the human and other objects in the scene to yield a third output, and augmenting reality within the scene by leveraging one or more of the first output, the second output, and the third output to place 2D and/or 3D graphics in the scene.",2020-01-07,utility
10529149,Off road vehicle network translation device,"A translation device that allows communication between off road vehicle networks and standard on board diagnostic tools, such as phone applications, other interface devices, computers, etc. The translation device maybe programmed to specifically be compatible with one off road vehicle manufacturer network but compliant to a universal output that may be read and controlled by various software packages and devices using the standard ISO 15031 messaging system.",2020-01-07,utility
10529151,"Apparatus, method and article for reserving power storage devices at reserving power storage device collection, charging and distribution machines","A network of collection, charging and distribution machines collect, charge and distribute portable electrical energy storage devices (e.g., batteries, supercapacitors or ultracapacitors). Locations of collection, charging and distribution machines having available charged portable electrical energy storage devices are communicated to or acquired by a mobile device of a user, or displayed on a collection, charging and distribution machine. The locations are indicated on a graphical user interface on a map on a user's mobile device relative to the user's current location. The user may use their mobile device select particular locations on the map to reserve an available portable electrical energy storage device. The system nay also warn the user that the user is near an edge of the pre-determined area having portable electrical energy storage device collection, charging and distribution machines. Reservations may also be made automatically based on information regarding a potential route of a user.",2020-01-07,utility
10529156,Access control via selective direct and indirect wireless communications,"A system is described for controlling a locking system restricting physical access (e.g. a door lock). The locking system is accessed (e.g., actuated and monitored) via dual communication path types used by a mobile wireless communication device. The locking system includes an electro-mechanical access control security device, and a receiving unit controlling the electro-mechanical access control security device. The receiving unit is paired with the mobile wireless communication device for receiving input from the mobile wireless device for activating the electro-mechanical access control security device using both low energy and high energy operating modes. The mobile wireless device is configured to access the locking system via both direct BLUETOOTH and indirect mobile wireless data network communications. Moreover, the operating range of the receiving unit is extended by connections to networked devices operating BLUETOOTH 4+LE at a high power-extended range mode through the use of an amplifier stage.",2020-01-07,utility
10529160,Method for controlling door lock of home network system,"Disclosed is a method for controlling a door lock of a home network system, the method including: generating release information in an external software module which communicates with a first smart terminal, or in a software installed in the first smart terminal; transmitting the release information from the external software module or the first smart terminal to a second smart terminal which is independent from and not connected to the local network system at the time when receiving the release information; and locking or unlocking the door lock based on comparison of information input into the door lock from an outside of the door lock with the generated release information.",2020-01-07,utility
10529171,Personal electronic device for gaming and bonus system,Embodiments of the present invention are directed to communication methods in gaming networks using portable devices. In some networks portable devices communicate information about the status of particular gaming machines on the gaming network. In other networks portable devices are used as a secondary display for the gaming device. In yet other networks bonus games may be played on the portable devices. Further embodiments include a portable device that operates to match a current state of a game to a pre-defined state or states.,2020-01-07,utility
10529172,Gaming machines and methods of gaming providing enhanced presentation of an expandable symbol,"The present invention relates to a gaming machine, methods of gaming systems. In particular, a gaming machine which provides a spinning reel game of chance is provided. Certain symbols are controlled to expand to cover other symbols of virtual spinning reels, in order to provide the player with a dynamic visual game appearance.",2020-01-07,utility
10529173,Gaming machine with runs of symbols,"A gaming machine comprising a processor to execute a game displaying a matrix of symbol containing elements having a plurality of rows and a plurality columns; at least one column comprising a portion of a simulated rotatable reel of a plurality of said symbol containing elements; said simulated rotatable reel comprising sections of symbol containing elements displaying a plurality of symbols; said simulated rotatable reel including at least one section in which a consecutive run of two or more of said elements is populated by a first identical symbol so that, said first identical symbol being used for a first play of said game, a second identical symbol being randomly selected, the first identical symbol being replaced by the second identical symbol in said consecutive run of two or more of said elements, said second identical symbol being used for a second play of said game.",2020-01-07,utility
10529178,Uses of mobile devices in transmitting activities of a player in a wagering establishment to a social network,"In some embodiments, a computer-implemented method for operating a client application program on a mobile device includes: determining, by the client application program on the mobile device, that a player has participated in activities in a wagering game establishment; determining, by the client application program on the mobile device, information about the activities in the wagering game establishment; and transmitting, by the client application to a social network, an electronic message to post on the social network information indicating the player activities in the wagering game establishment.",2020-01-07,utility
10529187,Electronic instant tickets for instant ticket vending machines,Systems and methods are provided to electronically dispense a plurality of Electronic Instant Tickets (EITs) from a gaming microprocessor that is electronically programmed by a game service provider with a set of predetermined EITs. An Instant Ticket Vending Machine (ITVM) communicates with the gaming microprocessor to receive the EITs and display the results dictated by the EITs. The EITs allow the ITVM to operate independently of network communications with the game service provider and without providing predetermined outcomes embodied in a paper medium. Paper embodiments of the EITs associated with the gaming session and which are displayed on the display during the gaming session are printed. The dispensed printed paper embodiments of the EITs did not exist prior to the gaming session and are only printed upon game play of an EIT.,2020-01-07,utility
10529191,Anonymous funding and tracking of sports wagering across multiple devices,"A gaming system includes a network accessible sports betting server that allows players to anonymously place wagers on sporting events using an anonymous account identifier that is not associated with any personal information of the player. The player may use the anonymous account identifier to access an available monetary balance for wagering, view, filter, and place wagers on sporting events using various wagering game machines, and continue to use the account identifier to track all associated wagering transactions while a remaining balance remains or pending wagering transactions are outstanding. The gaming system enables the player to use mobile devices and casino gaming machines to interchangeably interface with the anonymous account, viewing the remaining balance, place wagers, etc.",2020-01-07,utility
10529193,Shutter assembly for an automated teller machine,"A dispenser shutter assembly for an automated teller machine and an associated method of preventing damage to a shutter operating mechanism of the dispenser shutter assembly. The dispenser shutter assembly includes: a shutter plate; and a shutter operating mechanism that includes a motor assembly including a drive shaft mounting a worm gear and attached to a frame member by a pivotable mounting. The worm gear is moveable out of engagement with the worm segment by pivoting the motor assembly away from the frame member about the pivotable mounting. When the shutter plate is subject to an external force for moving the shutter plate to open a shutter from a closed position, the external force thereby applied to the worm gear by the worm segment moves the worm gear about the pivotable mounting out of engagement with the worm segment thereby preventing damage to the shutter operating mechanism.",2020-01-07,utility
10529206,Security devices and associated audio/video communication methods,"Security devices and associated methods have a housing, a camera with a field of view of a monitored area outside the housing, a microphone to sense audio from the monitored area, a speaker to generate sound audible to the monitored area, an illumination source to illuminate the monitored area, a communication module to communicate with a communication network, a motion sensor to detect motion within the monitored area, at least two removable battery casings, each configured via a release button to hold at least one battery within the housing, and a control circuit that, when the motion sensor detects motion, is operable to (a) activate the illumination source, (b) capture video and audio from the camera and the microphone, and (c) send the captured video and audio to a remote server via the communication module and the communication network.",2020-01-07,utility
10529208,Device tracking systems and methods,"A device tracking system of the present disclosure has a theft tracking device that permanently secures to an item that has the propensity to be stolen, the theft tracking device has a theft tracking processor and a Wireless Fidelity (Wi-Fi) module, and the theft tracking processor receives ping data and in response transmits response data via the Wi-Fi module. The system also has a remote locator device that has a case and that has a plug for securing the remote locator device to a power receptacle. The remote locator device also has a remote locator processor and a Wi-Fi module, and the remote locator processor periodically transmits a ping to the theft tracking device and receives the response data from the theft tracking device. The processor further transmits data indicating that the theft tracking device is not responding via a network when a response is not received from the tracking device. The system also has at least one server comprising a server processor that is communicatively coupled to the remote locator device, and the server processor receives the data indicating that the theft tracking device is not responding. Further, the server processor transmits location data periodically that shows a location of the item and displays the location to a user.",2020-01-07,utility
10529212,System for predicting departure from an origin based on external factors,"One embodiment of a monitoring system includes a sensing subsystem adapted to sense an external parameter within a region of interest relative to an occupant support or an occupant of the occupant support. The monitoring system also includes a processor. The processor is adapted to receive data representing the sensed external parameter and to execute machine readable instructions thereby causing the monitoring system to evaluate, based on the received data, a likelihood that the occupant will attempt an egress from the occupant support. The processor is also adapted to generate a notification of the likelihood of attempted egress.",2020-01-07,utility
10529223,Calibration of hazard detection sensitivity based on occupancy in a control zone,"Disclosed is an alarm device for detecting a hazard in a control zone, the alarm device having: a hazard sensor that comprises a configurable sensitivity level and a device controller that controls the sensitivity level of the hazard sensor, wherein the alarm device: receives over an electronic network a target sensitivity, and calibrates the hazard sensor to achieve the target sensitivity level.",2020-01-07,utility
10529224,Arrangement for delivery of production control information to a mining work machine,"A method for providing a mining work machine at a work site with production control information, the method including: assigning, on the basis of overall production management information of the work site, the mining work machine with production control information, defining tasks to be performed by the work machine; downloading the control information to a mobile terminal from one or more downloading points associated with a production management system, the mobile terminal and the one or more downloading points including an application for mutually synchronizing desired control information; providing the mobile terminal in a vicinity of the mining work machine, the mining work machine further having an application for mutually synchronizing desired control information; performing an authentication between the mobile terminal and the mining work machine; selecting the control information to be downloaded to the mining work machine; and downloading the selected control information to the mining work machine wirelessly.",2020-01-07,utility
10529241,Unmanned vehicle recognition and threat management,"Systems and methods for automated unmanned aerial vehicle recognition. A multiplicity of receivers captures RF data and transmits the RF data to at least one node device. The at least one node device comprises a signal processing engine, a detection engine, a classification engine, and a direction finding engine. The at least one node device is configured with an artificial intelligence algorithm. The detection engine and classification engine are trained to detect and classify signals from unmanned vehicles and their controllers based on processed data from the signal processing engine. The direction finding engine is operable to provide lines of bearing for detected unmanned vehicles.",2020-01-07,utility
10529244,Personalized tutoring streams in a modular learning system,"An apparatus and method are disclosed for generating a personalized tutoring stream in a modular learning system. Learning applications are stored in the modular learning system, each associated with at least one application service. The modular learning system receives a performance request specifying one or more learning applications. After determining an availability of application services associated with the one or more specified learning applications, the modular learning system adds the specified learning applications to a tutoring stream associated with the tutoring user.",2020-01-07,utility
10529246,"Learning assistance apparatus, learning assistance method, and computer-readable storage medium","A learning assistance apparatus 10 includes: a data acquisition unit 11 that acquires a problem and an answer corresponding thereto from a data structure that includes the problem and the answer as data; an operation reception unit 12 that receives a first operation of moving a display region in a first direction, a second operation of moving the display region in a second direction, and a third operation of moving the display region in a third direction; and a display control unit 13 that causes another problem to be displayed on a screen according to a movement when the first operation is received after the problem is displayed, causes the answer corresponding to the displayed problem to be displayed on the screen when the second operation is received after the problem is displayed, and causes another problem to be displayed on the screen when the third operation is received after the answer is displayed due to the second operation.",2020-01-07,utility
10529247,Interactive computer system for tutoring proof construction,"A computerized tutoring system for teaching students how to construct proofs associated with computer science, logic, math, and other studies. The self tutoring system employs an interactive computer programmed with a proof problem and access to assumptions and assertions for a student to study. The student tries to solve the problem by interacting with the computer to choose and interconnect appropriate assumptions and assertions as required for the proof. The system provides immediate feedback for the student to correct mistakes and information on the student's learning progress. The level of tutoring may adjusted to suit the needs of the student. The tutoring system may include audio and visual effects to entertain the student during the tutoring process. One embodiment involves symbols to represent the assumptions and assertions, and the text of the assumptions and assertions may be toggled off to reduce distracting clutter on the computer display screen.",2020-01-07,utility
10529248,"Aircraft pilot training system, method and apparatus for theory, practice and evaluation","A system and method for training an aircraft pilot employs a station that delivers training lessons in the form of output and also receives input data from the trainee. An apparatus comprising a computational system is capable of displaying content from different types of media, including virtual reality, augmented reality, and variations. A mixed reality environment interacts with a human being, simulating the response of real objects, and also provides necessary information to achieve Learning Objectives for a specific part of training. A register or record of the interactions is used for evaluation.",2020-01-07,utility
10529251,"Learning tool and game for identifying fractional indicia on tape measures and the like, and for developing tactile sense, eye-hand coordination, dexterity, and speed","A learning tool for identifying and memorizing fractional indicia on measuring devices including tape measures, rulers, other lined media, and the like, including incorporated into a fun to play game that emphasizes the above skills development while additionally utilizing and improving tactile feel, dexterity, eye-hand coordination and speed to accomplish work tasks by requiring picking up and properly manipulating small objects analogous to handling and placement of nails for hammering and screws for inserting them into specified holes. The tool can additionally incorporate measureable metrics for determining progress and identifying areas requiring additional practice.",2020-01-07,utility
10529317,"Neural network training apparatus and method, and speech recognition apparatus and method",A neural network training apparatus includes a primary trainer configured to perform a primary training of a neural network model based on clean training data and target data corresponding to the clean training data; and a secondary trainer configured to perform a secondary training of the neural network model on which the primary training has been performed based on noisy training data and an output probability distribution of an output class for the clean training data calculated during the primary training of the neural network model.,2020-01-07,utility
10529318,Implementing a classification model for recognition processing,"A method, system, and computer program product for learning a recognition model for recognition processing. The method includes preparing one or more examples for learning, each of which includes an input segment, an additional segment adjacent to the input segment and an assigned label. The input segment and the additional segment are extracted from an original training data. A classification model is trained, using the input segment and the additional segment in the examples, to initialize parameters of the classification model so that extended segments including the input segment and the additional segment are reconstructed from the input segment. Then, the classification model is tuned to predict a target label, using the input segment and the assigned label in the examples, based on the initialized parameters. At least a portion of the obtained classification model is included in the recognition model.",2020-01-07,utility
10529319,User adaptive speech recognition method and apparatus,"A user adaptive speech recognition method and apparatus are provided. A speech recognition method includes extracting an identity vector representing an individual characteristic of a user from speech data, implementing a sub-neural network by inputting a sub-input vector including at least the identity vector to the sub-neural network, determining a scaling factor based on a result of the implementing of the sub-neural network, implementing a main neural network, configured to perform a recognition operation, by applying the determined scaling factor to the main neural network and inputting the speech data to the main neural network to which the determined scaling factor is applied, and indicating a recognition result of the implementation of the main neural network.",2020-01-07,utility
10529320,Complex evolution recurrent neural networks,"Methods, systems, and apparatus, including computer programs encoded on a computer storage medium, for speech recognition using complex evolution recurrent neural networks. In some implementations, audio data indicating acoustic characteristics of an utterance is received. A first vector sequence comprising audio features determined from the audio data is generated. A second vector sequence is generated, as output of a first recurrent neural network in response to receiving the first vector sequence as input, where the first recurrent neural network has a transition matrix that implements a cascade of linear operators comprising (i) first linear operators that are complex-valued and unitary, and (ii) one or more second linear operators that are non-unitary. An output vector sequence of a second recurrent neural network is generated. A transcription for the utterance is generated based on the output vector sequence generated by the second recurrent neural network. The transcription for the utterance is provided.",2020-01-07,utility
10529328,Processing speech signals in voice-based profiling,"This document describes a data processing system for processing a speech signal for voice-based profiling. The data processing system segments the speech signal into a plurality of segments, with each segment representing a portion of the speech signal. For each segment, the data processing system generates a feature vector comprising data indicative of one or more features of the portion of the speech signal represented by that segment and determines whether the feature vector comprises data indicative of one or more features with a threshold amount of confidence. For each of a subset of the generated feature vectors, the system processes data in that feature vector to generate a prediction of a value of a profile parameter and transmits an output responsive to machine executable code that generates a visual representation of the prediction of the value of the profile parameter.",2020-01-07,utility
10529339,Method and system for facilitating reliable pattern detection,"According to a first aspect of the present disclosure, a method for facilitating detection of one or more time series patterns is conceived, comprising building one or more artificial neural networks, wherein, for at least one time series pattern to be detected, a specific one of said artificial neural networks is built, the specific one of said artificial neural networks being configured to produce a decision output and a reliability output, wherein the reliability output is indicative of the reliability of the decision output. According to a second aspect of the present disclosure, a corresponding computer program is provided. According to a third aspect of the present disclosure, a corresponding system for facilitating the detection of one or more time series patterns is provided.",2020-01-07,utility
10529352,Audio signal processing,"An audio signal processing device comprises: an audio input configured to receive an audio signal to be coded; an audio codec configured to apply audio coding to the audio signal, thereby generating coded audio data, having an audio bandwidth, for transmission to a remote device; a network interface configured to receive from the remote device an indication of at least one characteristic of an audio output device of the remote device; and an audio bandwidth selector configured to set an audio bandwidth parameter of the audio codec based on the indication received from the remote device, thereby setting the audio bandwidth of the coded audio data in dependence on the at least one characteristic of the audio output device.",2020-01-07,utility
10529518,Protection schemes for MEMS switch devices,"Micro-electromechanical switch (MEMS) devices can be fabricated using integrated circuit fabrication techniques and materials. Such switch devices can provide cycle life and insertion loss performance suiting for use in a broad range of applications including, for example, automated test equipment (ATE), switching for measurement instrumentation (such as a spectrum analyzer, network analyzer, or communication test system), and uses in communication systems, such as for signal processing. MEMS devices can be vulnerable to electrical over-stress, such as associated with electrostatic discharge (ESD) transient events. A solid-state clamp circuit can be incorporated in a MEMS device package to protect one or more MEMS devices from damaging overvoltage conditions. The clamp circuit can include single or multiple blocking junction structures having complementary current-voltage relationships, such as to help linearize a capacitance-to-voltage relationship presented by the clamp circuit.",2020-01-07,utility
10529973,Standardized rechargeable battery cell,"Applications for use with a rechargeable power unit. In one embodiment, the rechargeable power unit is configured to be releasably connected to one or more interchangeable attachments having an electric functionality. In one embodiment, an electric device is configured having a compartment and connection portion configured to receive and use the rechargeable power unit as a power source. In some embodiments, the rechargeable power unit can be obtained or exchanged at a battery exchange machine.",2020-01-07,utility
10529979,Method for making lithium-ion battery anodes,"The present disclosure relates to a method for making a lithium-ion battery anode. The method comprises the steps of scratching off a carbon nanotube array to obtain a plurality of carbon nanotubes, adding the plurality of carbon nanotubes into a solvent, and ultrasonically dispersing the solvent to make the plurality of carbon nanotubes form a three-dimensional network-like structure; adding a titanium salt into the solvent, wherein the titanium salt hydrolyzes to form a plurality of titanium dioxide particles, and the plurality of titanium dioxide particles are adsorbed on surfaces of the plurality of carbon nanotubes; and separating the nanotube three-dimensional network structure from the solvent to form a precursor, and drying the precursor to form a titanium dioxide-carbon nanotube composite film.",2020-01-07,utility
10530102,"Power adapter, socket, and assembly","Embodiments of the present invention disclose a power adapter. One end of the power adapter is configured to connect to a power supply apparatus, and the other end of the power adapter is configured to connect to a network terminal device. The power adapter includes a power module, a communication module, and a connection module. The power module is connected to both the communication module and the connection module, and is configured to obtain electric energy from the power supply apparatus, and supply power to the communication module and the connection module. The communication module is connected to the connection module, and is configured to communicate with the network terminal device by using the connection module. The connection module is configured to connect to the network terminal device, and transmit a signal between the communication module and the network terminal device.",2020-01-07,utility
10530106,Modular plug connector with multilayer PCB for very high speed applications,"A modular RJ45-type plug apparatus is provided for forming a connector interface with a connector jack in a high speed data transmission network. A housing comprises an insulative front portion and a conductive shield portion attachable to define an interior, within which is positioned a contact subassembly including a first PCB having cable mounting pads on one end and through holes for elongate plug contacts on the other end. The contacts are connected on one end to the first PCB and on a second end to a second PCB, with bridge portions therebetween collectively defining a jack contact interface. The second PCB comprises desired electrical characteristics which provide the apparatus with certain capacitance compensation properties, wherein the capacitance compensation is offset from a signal path defined between the jack-plug connector interface and the cable pairs.",2020-01-07,utility
10530145,"Method and device for detecting phase failures, in particular network faults, in a converter","In a method and a corresponding device for detecting phase failures in a converter, current regulators of a positive phase sequence system and current regulators of a negative phase sequence system are provided for the current control of the converter, wherein the current regulators of the positive phase sequence system and the current regulators of the negative phase sequence system each have an integrator, resulting, in the case of a network fault, in coupling of the integrators. At least one measured or calculated value is checked by a monitoring unit for a course that is typical of the coupling of the integrators, wherein the monitoring unit generates a fault signal if such a typical course is detected.",2020-01-07,utility
10530159,Provision of negative control power by a gas turbine,"A method for providing negative control power for an electrical supply and/or transmission network by means of the operation of a gas turbine, includes the following steps: a dynamo-electric machine of the gas turbine is supplied with electric power for motor operation from the supply and/or transmission network; the electrical input power is regulated or controlled by the motor operation on the basis of a network signal from the supply and/or transmission network to which the gas turbine is connected; and an operating parameter of the gas turbine for motor operation is altered as a result of this regulation or control for the purpose of deliberately increasing the electrical input power from the supply and/or transmission network.",2020-01-07,utility
10530160,Power transmission network,"A power transmission network, for interconnecting a variable power source and a AC electrical network including: a DC transmission link for power transmission between a network side converter and a source side converter; a AC transmission link for power transmission from the respective variable power source to a source side converter; a source side converter including: a DC connecting point operably connected to the respective transmission link; and an AC connecting point operably connected to the respective transmission link; a network side converter including: an AC connecting point for connection to the respective electrical network; and a DC connecting point operably connected to the respective transmission link; and a control system, where a network side converter is designated as a first converter, and the control system is configured to operate each first converter as a DC slack bus to vary a DC voltage at its DC connecting point.",2020-01-07,utility
